barcode,time_point,platemap_file
BR00143976,24,Assay_Plate1_platemap
BR00143977,24,Assay_Plate2_platemap
BR00143978,48,Assay_Plate1_platemap
BR00143979,48,Assay_Plate2_platemap
BR00143980,72,Assay_Plate1_platemap
BR00143981,72,Assay_Plate2_platemap
BR00145438,24,Assay_Plate3_platemap
BR00145439,48,Assay_Plate3_platemap
BR00145440,72,Assay_Plate3_platemap
BR00145816,24,Assay_Plate4_platemap
BR00145817,48,Assay_Plate4_platemap
BR00145818,72,Assay_Plate4_platemap
BR00146998,24,Assay_Plate5_platemap
BR00146999,48,Assay_Plate5_platemap
BR00147000,72,Assay_Plate5_platemap
BR00147001,24,Assay_Plate6_platemap
BR00147002,48,Assay_Plate6_platemap
BR00147003,72,Assay_Plate6_platemap
BR00147495,24,Assay_Plate7_platemap
BR00147496,48,Assay_Plate7_platemap
BR00147497,72,Assay_Plate7_platemap
BR00147261,24,Assay_Plate8_platemap
BR00147262,48,Assay_Plate8_platemap
BR00147263,72,Assay_Plate8_platemap
